,date,zone,new_cases
159,2020-01-16,zone_10,19
160,2020-01-17,zone_1,25
161,2020-01-17,zone_2,98
162,2020-01-17,zone_3,30
163,2020-01-17,zone_4,50
164,2020-01-17,zone_5,36
165,2020-01-17,zone_6,65
166,2020-01-17,zone_7,17
167,2020-01-17,zone_8,80
168,2020-01-17,zone_9,16
169,2020-01-17,zone_10,21
170,2020-01-18,zone_1,21
171,2020-01-18,zone_2,71
172,2020-01-18,zone_3,23
173,2020-01-18,zone_4,53
174,2020-01-18,zone_5,50
175,2020-01-18,zone_6,90
176,2020-01-18,zone_7,18
177,2020-01-18,zone_8,94
178,2020-01-18,zone_9,20
179,2020-01-18,zone_10,26
180,2020-01-19,zone_1,23
181,2020-01-19,zone_2,113
182,2020-01-19,zone_3,21
183,2020-01-19,zone_4,61
184,2020-01-19,zone_5,45
185,2020-01-19,zone_6,82
186,2020-01-19,zone_7,22
187,2020-01-19,zone_8,87
188,2020-01-19,zone_9,18
189,2020-01-19,zone_10,20
190,2020-01-20,zone_1,19
191,2020-01-20,zone_2,99
192,2020-01-20,zone_3,18
193,2020-01-20,zone_4,60
194,2020-01-20,zone_5,33
195,2020-01-20,zone_6,83
196,2020-01-20,zone_7,27
197,2020-01-20,zone_8,89
198,2020-01-20,zone_9,11
199,2020-01-20,zone_10,27
200,2020-01-21,zone_1,25
201,2020-01-21,zone_2,73
202,2020-01-21,zone_3,23
203,2020-01-21,zone_4,55
204,2020-01-21,zone_5,39
205,2020-01-21,zone_6,99
206,2020-01-21,zone_7,17
207,2020-01-21,zone_8,82
208,2020-01-21,zone_9,18
209,2020-01-21,zone_10,31
210,2020-01-22,zone_1,19
211,2020-01-22,zone_2,86
212,2020-01-22,zone_3,24
213,2020-01-22,zone_4,49
214,2020-01-22,zone_5,45
215,2020-01-22,zone_6,96
216,2020-01-22,zone_7,31
217,2020-01-22,zone_8,112
218,2020-01-22,zone_9,12
219,2020-01-22,zone_10,27
220,2020-01-23,zone_1,19
221,2020-01-23,zone_2,93
222,2020-01-23,zone_3,23
223,2020-01-23,zone_4,60
224,2020-01-23,zone_5,46
225,2020-01-23,zone_6,89
226,2020-01-23,zone_7,26
227,2020-01-23,zone_8,88
228,2020-01-23,zone_9,18
229,2020-01-23,zone_10,38
230,2020-01-24,zone_1,47
231,2020-01-24,zone_2,104
232,2020-01-24,zone_3,35
233,2020-01-24,zone_4,54
234,2020-01-24,zone_5,52
235,2020-01-24,zone_6,95
236,2020-01-24,zone_7,22
237,2020-01-24,zone_8,103
238,2020-01-24,zone_9,16
239,2020-01-24,zone_10,24
240,2020-01-25,zone_1,24
241,2020-01-25,zone_2,75
242,2020-01-25,zone_3,25
243,2020-01-25,zone_4,93
244,2020-01-25,zone_5,33
245,2020-01-25,zone_6,86
246,2020-01-25,zone_7,19
247,2020-01-25,zone_8,93
248,2020-01-25,zone_9,21
249,2020-01-25,zone_10,26
250,2020-01-26,zone_1,19
251,2020-01-26,zone_2,107
252,2020-01-26,zone_3,37
253,2020-01-26,zone_4,79
254,2020-01-26,zone_5,44
255,2020-01-26,zone_6,93
256,2020-01-26,zone_7,20
257,2020-01-26,zone_8,101
258,2020-01-26,zone_9,16
259,2020-01-26,zone_10,30
260,2020-01-27,zone_1,20
261,2020-01-27,zone_2,90
262,2020-01-27,zone_3,32
263,2020-01-27,zone_4,50
264,2020-01-27,zone_5,43
265,2020-01-27,zone_6,83
266,2020-01-27,zone_7,28
267,2020-01-27,zone_8,94
268,2020-01-27,zone_9,17
269,2020-01-27,zone_10,28
270,2020-01-28,zone_1,19
271,2020-01-28,zone_2,89
272,2020-01-28,zone_3,19
273,2020-01-28,zone_4,54
274,2020-01-28,zone_5,35
275,2020-01-28,zone_6,99
276,2020-01-28,zone_7,25
277,2020-01-28,zone_8,111
278,2020-01-28,zone_9,18
279,2020-01-28,zone_10,31
280,2020-01-29,zone_1,21
281,2020-01-29,zone_2,85
282,2020-01-29,zone_3,28
283,2020-01-29,zone_4,68
284,2020-01-29,zone_5,43
285,2020-01-29,zone_6,88
286,2020-01-29,zone_7,17
287,2020-01-29,zone_8,96
288,2020-01-29,zone_9,14
289,2020-01-29,zone_10,30
290,2020-01-30,zone_1,23
291,2020-01-30,zone_2,88
292,2020-01-30,zone_3,32
293,2020-01-30,zone_4,63
294,2020-01-30,zone_5,55
295,2020-01-30,zone_6,103
296,2020-01-30,zone_7,32
297,2020-01-30,zone_8,90
298,2020-01-30,zone_9,27
299,2020-01-30,zone_10,34
300,2020-01-31,zone_1,21
301,2020-01-31,zone_2,95
302,2020-01-31,zone_3,17
303,2020-01-31,zone_4,61
304,2020-01-31,zone_5,51
305,2020-01-31,zone_6,87
306,2020-01-31,zone_7,29
307,2020-01-31,zone_8,100
308,2020-01-31,zone_9,22
309,2020-01-31,zone_10,31
310,2020-02-01,zone_1,24
311,2020-02-01,zone_2,163
312,2020-02-01,zone_3,26
313,2020-02-01,zone_4,61
314,2020-02-01,zone_5,41
315,2020-02-01,zone_6,106
316,2020-02-01,zone_7,25
317,2020-02-01,zone_8,88
318,2020-02-01,zone_9,16
319,2020-02-01,zone_10,26
320,2020-02-02,zone_1,20
321,2020-02-02,zone_2,82
322,2020-02-02,zone_3,28
323,2020-02-02,zone_4,49
324,2020-02-02,zone_5,49
325,2020-02-02,zone_6,72
326,2020-02-02,zone_7,21
327,2020-02-02,zone_8,81
328,2020-02-02,zone_9,11
329,2020-02-02,zone_10,27
330,2020-02-03,zone_1,24
331,2020-02-03,zone_2,84
332,2020-02-03,zone_3,30
333,2020-02-03,zone_4,60
334,2020-02-03,zone_5,46
335,2020-02-03,zone_6,77
336,2020-02-03,zone_7,18
337,2020-02-03,zone_8,87
338,2020-02-03,zone_9,18
339,2020-02-03,zone_10,30
340,2020-02-04,zone_1,27
341,2020-02-04,zone_2,99
342,2020-02-04,zone_3,25
343,2020-02-04,zone_4,59
344,2020-02-04,zone_5,47
345,2020-02-04,zone_6,84
346,2020-02-04,zone_7,21
347,2020-02-04,zone_8,93
348,2020-02-04,zone_9,21
349,2020-02-04,zone_10,27
350,2020-02-05,zone_1,29
351,2020-02-05,zone_2,97
352,2020-02-05,zone_3,39
353,2020-02-05,zone_4,71
354,2020-02-05,zone_5,41
355,2020-02-05,zone_6,86
356,2020-02-05,zone_7,20
357,2020-02-05,zone_8,95
358,2020-02-05,zone_9,31
359,2020-02-05,zone_10,33
360,2020-02-06,zone_1,31
361,2020-02-06,zone_2,96
362,2020-02-06,zone_3,20
363,2020-02-06,zone_4,54
364,2020-02-06,zone_5,30
365,2020-02-06,zone_6,98
366,2020-02-06,zone_7,23
367,2020-02-06,zone_8,93
368,2020-02-06,zone_9,22
369,2020-02-06,zone_10,20
370,2020-02-07,zone_1,20
371,2020-02-07,zone_2,144
372,2020-02-07,zone_3,28
373,2020-02-07,zone_4,34
374,2020-02-07,zone_5,35
375,2020-02-07,zone_6,99
376,2020-02-07,zone_7,18
377,2020-02-07,zone_8,78
378,2020-02-07,zone_9,24
379,2020-02-07,zone_10,26
380,2020-02-08,zone_1,34
381,2020-02-08,zone_2,92
382,2020-02-08,zone_3,32
383,2020-02-08,zone_4,50
384,2020-02-08,zone_5,40
385,2020-02-08,zone_6,94
386,2020-02-08,zone_7,29
387,2020-02-08,zone_8,91
388,2020-02-08,zone_9,18
389,2020-02-08,zone_10,33
390,2020-02-09,zone_1,28
391,2020-02-09,zone_2,93
392,2020-02-09,zone_3,27
393,2020-02-09,zone_4,69
394,2020-02-09,zone_5,46
395,2020-02-09,zone_6,80
396,2020-02-09,zone_7,25
397,2020-02-09,zone_8,99
398,2020-02-09,zone_9,20
399,2020-02-09,zone_10,45
400,2020-02-10,zone_1,24
401,2020-02-10,zone_2,86
402,2020-02-10,zone_3,29
403,2020-02-10,zone_4,55
404,2020-02-10,zone_5,48
405,2020-02-10,zone_6,95
406,2020-02-10,zone_7,31
407,2020-02-10,zone_8,92
408,2020-02-10,zone_9,10
409,2020-02-10,zone_10,15
410,2020-02-11,zone_1,37
411,2020-02-11,zone_2,70
412,2020-02-11,zone_3,43
413,2020-02-11,zone_4,60
414,2020-02-11,zone_5,44
415,2020-02-11,zone_6,79
416,2020-02-11,zone_7,29
417,2020-02-11,zone_8,133
418,2020-02-11,zone_9,18
419,2020-02-11,zone_10,32
420,2020-02-12,zone_1,30
421,2020-02-12,zone_2,108
422,2020-02-12,zone_3,39
423,2020-02-12,zone_4,51
424,2020-02-12,zone_5,47
425,2020-02-12,zone_6,104
426,2020-02-12,zone_7,24
427,2020-02-12,zone_8,113
428,2020-02-12,zone_9,18
429,2020-02-12,zone_10,30
430,2020-02-13,zone_1,25
431,2020-02-13,zone_2,92
432,2020-02-13,zone_3,27
433,2020-02-13,zone_4,60
434,2020-02-13,zone_5,44
435,2020-02-13,zone_6,136
436,2020-02-13,zone_7,24
437,2020-02-13,zone_8,104
438,2020-02-13,zone_9,30
439,2020-02-13,zone_10,38
440,2020-02-14,zone_1,25
441,2020-02-14,zone_2,89
442,2020-02-14,zone_3,34
443,2020-02-14,zone_4,60
444,2020-02-14,zone_5,43
445,2020-02-14,zone_6,98
446,2020-02-14,zone_7,29
447,2020-02-14,zone_8,103
448,2020-02-14,zone_9,29
449,2020-02-14,zone_10,37
450,2020-02-15,zone_1,29
451,2020-02-15,zone_2,111
452,2020-02-15,zone_3,34
453,2020-02-15,zone_4,57
454,2020-02-15,zone_5,47
455,2020-02-15,zone_6,82
456,2020-02-15,zone_7,37
457,2020-02-15,zone_8,107
458,2020-02-15,zone_9,18
459,2020-02-15,zone_10,33
460,2020-02-16,zone_1,31
461,2020-02-16,zone_2,84
462,2020-02-16,zone_3,30
463,2020-02-16,zone_4,46
464,2020-02-16,zone_5,42
465,2020-02-16,zone_6,76
466,2020-02-16,zone_7,31
467,2020-02-16,zone_8,119
468,2020-02-16,zone_9,17
469,2020-02-16,zone_10,31
470,2020-02-17,zone_1,17
471,2020-02-17,zone_2,87
472,2020-02-17,zone_3,30
473,2020-02-17,zone_4,65
474,2020-02-17,zone_5,40
475,2020-02-17,zone_6,95
476,2020-02-17,zone_7,28
477,2020-02-17,zone_8,92
478,2020-02-17,zone_9,22
479,2020-02-17,zone_10,26
480,2020-02-18,zone_1,39
481,2020-02-18,zone_2,95
482,2020-02-18,zone_3,30
483,2020-02-18,zone_4,48
484,2020-02-18,zone_5,52
485,2020-02-18,zone_6,78
486,2020-02-18,zone_7,30
487,2020-02-18,zone_8,110
488,2020-02-18,zone_9,19
489,2020-02-18,zone_10,24
490,2020-02-19,zone_1,22
491,2020-02-19,zone_2,93
492,2020-02-19,zone_3,21
493,2020-02-19,zone_4,62
494,2020-02-19,zone_5,45
495,2020-02-19,zone_6,75
496,2020-02-19,zone_7,22
497,2020-02-19,zone_8,100
498,2020-02-19,zone_9,11
499,2020-02-19,zone_10,36
500,2020-02-20,zone_1,30
501,2020-02-20,zone_2,86
502,2020-02-20,zone_3,24
503,2020-02-20,zone_4,68
504,2020-02-20,zone_5,46
505,2020-02-20,zone_6,103
506,2020-02-20,zone_7,22
507,2020-02-20,zone_8,133
508,2020-02-20,zone_9,20
509,2020-02-20,zone_10,22
510,2020-02-21,zone_1,26
511,2020-02-21,zone_2,96
512,2020-02-21,zone_3,27
513,2020-02-21,zone_4,54
514,2020-02-21,zone_5,57
515,2020-02-21,zone_6,101
516,2020-02-21,zone_7,29
517,2020-02-21,zone_8,95
518,2020-02-21,zone_9,22
519,2020-02-21,zone_10,34
520,2020-02-22,zone_1,33
521,2020-02-22,zone_2,95
522,2020-02-22,zone_3,24
523,2020-02-22,zone_4,64
524,2020-02-22,zone_5,66
525,2020-02-22,zone_6,100
526,2020-02-22,zone_7,20
527,2020-02-22,zone_8,112
528,2020-02-22,zone_9,21
529,2020-02-22,zone_10,36
530,2020-02-23,zone_1,26
531,2020-02-23,zone_2,97
532,2020-02-23,zone_3,26
533,2020-02-23,zone_4,72
534,2020-02-23,zone_5,41
535,2020-02-23,zone_6,108
536,2020-02-23,zone_7,30
537,2020-02-23,zone_8,83
538,2020-02-23,zone_9,23
539,2020-02-23,zone_10,31
540,2020-02-24,zone_1,30
541,2020-02-24,zone_2,95
542,2020-02-24,zone_3,38
543,2020-02-24,zone_4,72
544,2020-02-24,zone_5,36
545,2020-02-24,zone_6,88
546,2020-02-24,zone_7,29
547,2020-02-24,zone_8,213
548,2020-02-24,zone_9,18
549,2020-02-24,zone_10,28
550,2020-02-25,zone_1,27
551,2020-02-25,zone_2,116
552,2020-02-25,zone_3,49
553,2020-02-25,zone_4,58
554,2020-02-25,zone_5,49
555,2020-02-25,zone_6,79
556,2020-02-25,zone_7,29
557,2020-02-25,zone_8,120
558,2020-02-25,zone_9,20
559,2020-02-25,zone_10,28
560,2020-02-26,zone_1,34
561,2020-02-26,zone_2,90
562,2020-02-26,zone_3,22
563,2020-02-26,zone_4,76
564,2020-02-26,zone_5,50
565,2020-02-26,zone_6,96
566,2020-02-26,zone_7,29
567,2020-02-26,zone_8,129
568,2020-02-26,zone_9,26
569,2020-02-26,zone_10,28
570,2020-02-27,zone_1,28
571,2020-02-27,zone_2,92
572,2020-02-27,zone_3,30
573,2020-02-27,zone_4,67
574,2020-02-27,zone_5,53
575,2020-02-27,zone_6,102
576,2020-02-27,zone_7,18
577,2020-02-27,zone_8,103
578,2020-02-27,zone_9,17
579,2020-02-27,zone_10,31
580,2020-02-28,zone_1,29
581,2020-02-28,zone_2,119
582,2020-02-28,zone_3,29
583,2020-02-28,zone_4,78
584,2020-02-28,zone_5,43
585,2020-02-28,zone_6,92
586,2020-02-28,zone_7,29
587,2020-02-28,zone_8,114
588,2020-02-28,zone_9,15
589,2020-02-28,zone_10,38
590,2020-02-29,zone_1,34
591,2020-02-29,zone_2,105
592,2020-02-29,zone_3,31
593,2020-02-29,zone_4,72
594,2020-02-29,zone_5,46
595,2020-02-29,zone_6,80
596,2020-02-29,zone_7,28
597,2020-02-29,zone_8,102
598,2020-02-29,zone_9,18
599,2020-02-29,zone_10,27
600,2020-03-01,zone_1,35
601,2020-03-01,zone_2,103
602,2020-03-01,zone_3,31
603,2020-03-01,zone_4,71
604,2020-03-01,zone_5,68
605,2020-03-01,zone_6,94
606,2020-03-01,zone_7,30
607,2020-03-01,zone_8,130
608,2020-03-01,zone_9,24
609,2020-03-01,zone_10,25
610,2020-03-02,zone_1,38
611,2020-03-02,zone_2,103
612,2020-03-02,zone_3,39
613,2020-03-02,zone_4,66
614,2020-03-02,zone_5,77
615,2020-03-02,zone_6,102
616,2020-03-02,zone_7,19
617,2020-03-02,zone_8,126
618,2020-03-02,zone_9,24
619,2020-03-02,zone_10,38
620,2020-03-03,zone_1,30
621,2020-03-03,zone_2,94
622,2020-03-03,zone_3,23
623,2020-03-03,zone_4,60
624,2020-03-03,zone_5,52
625,2020-03-03,zone_6,113
626,2020-03-03,zone_7,31
627,2020-03-03,zone_8,108
628,2020-03-03,zone_9,17
629,2020-03-03,zone_10,35
630,2020-03-04,zone_1,27
631,2020-03-04,zone_2,100
632,2020-03-04,zone_3,39
633,2020-03-04,zone_4,68
634,2020-03-04,zone_5,53
635,2020-03-04,zone_6,100
636,2020-03-04,zone_7,29
637,2020-03-04,zone_8,99
638,2020-03-04,zone_9,18
639,2020-03-04,zone_10,42
640,2020-03-05,zone_1,34
641,2020-03-05,zone_2,99
642,2020-03-05,zone_3,35
643,2020-03-05,zone_4,58
644,2020-03-05,zone_5,45
645,2020-03-05,zone_6,96
646,2020-03-05,zone_7,37
647,2020-03-05,zone_8,117
648,2020-03-05,zone_9,13
649,2020-03-05,zone_10,33
650,2020-03-06,zone_1,32
651,2020-03-06,zone_2,123
652,2020-03-06,zone_3,40
653,2020-03-06,zone_4,63
654,2020-03-06,zone_5,56
655,2020-03-06,zone_6,101
656,2020-03-06,zone_7,31
657,2020-03-06,zone_8,115
658,2020-03-06,zone_9,21
659,2020-03-06,zone_10,34
660,2020-03-07,zone_1,33
661,2020-03-07,zone_2,103
662,2020-03-07,zone_3,25
663,2020-03-07,zone_4,61
664,2020-03-07,zone_5,52
665,2020-03-07,zone_6,143
666,2020-03-07,zone_7,15
667,2020-03-07,zone_8,126
668,2020-03-07,zone_9,20
669,2020-03-07,zone_10,25
670,2020-03-08,zone_1,38
671,2020-03-08,zone_2,101
672,2020-03-08,zone_3,31
673,2020-03-08,zone_4,68
674,2020-03-08,zone_5,34
675,2020-03-08,zone_6,107
676,2020-03-08,zone_7,27
677,2020-03-08,zone_8,102
678,2020-03-08,zone_9,13
679,2020-03-08,zone_10,45
680,2020-03-09,zone_1,49
681,2020-03-09,zone_2,125
682,2020-03-09,zone_3,36
683,2020-03-09,zone_4,50
684,2020-03-09,zone_5,46
685,2020-03-09,zone_6,80
686,2020-03-09,zone_7,27
687,2020-03-09,zone_8,130
688,2020-03-09,zone_9,24
689,2020-03-09,zone_10,39
690,2020-03-10,zone_1,41
691,2020-03-10,zone_2,111
692,2020-03-10,zone_3,36
693,2020-03-10,zone_4,57
694,2020-03-10,zone_5,61
695,2020-03-10,zone_6,109
696,2020-03-10,zone_7,28
697,2020-03-10,zone_8,121
698,2020-03-10,zone_9,25
699,2020-03-10,zone_10,49
700,2020-03-11,zone_1,25
701,2020-03-11,zone_2,108
702,2020-03-11,zone_3,30
703,2020-03-11,zone_4,63
704,2020-03-11,zone_5,52
705,2020-03-11,zone_6,107
706,2020-03-11,zone_7,29
707,2020-03-11,zone_8,107
708,2020-03-11,zone_9,19
709,2020-03-11,zone_10,31
710,2020-03-12,zone_1,31
711,2020-03-12,zone_2,124
712,2020-03-12,zone_3,35
713,2020-03-12,zone_4,67
714,2020-03-12,zone_5,63
715,2020-03-12,zone_6,120
716,2020-03-12,zone_7,23
717,2020-03-12,zone_8,106
718,2020-03-12,zone_9,22
719,2020-03-12,zone_10,32
720,2020-03-13,zone_1,36
721,2020-03-13,zone_2,110
722,2020-03-13,zone_3,39
723,2020-03-13,zone_4,86
724,2020-03-13,zone_5,60
725,2020-03-13,zone_6,122
726,2020-03-13,zone_7,29
727,2020-03-13,zone_8,139
728,2020-03-13,zone_9,25
729,2020-03-13,zone_10,26
730,2020-03-14,zone_1,38
731,2020-03-14,zone_2,137
732,2020-03-14,zone_3,36
733,2020-03-14,zone_4,76
734,2020-03-14,zone_5,57
735,2020-03-14,zone_6,116
736,2020-03-14,zone_7,21
737,2020-03-14,zone_8,117
738,2020-03-14,zone_9,20
739,2020-03-14,zone_10,47
740,2020-03-15,zone_1,32
741,2020-03-15,zone_2,112
742,2020-03-15,zone_3,21
743,2020-03-15,zone_4,62
744,2020-03-15,zone_5,50
745,2020-03-15,zone_6,107
746,2020-03-15,zone_7,28
747,2020-03-15,zone_8,136
748,2020-03-15,zone_9,24
749,2020-03-15,zone_10,38
750,2020-03-16,zone_1,38
751,2020-03-16,zone_2,113
752,2020-03-16,zone_3,30
753,2020-03-16,zone_4,57
754,2020-03-16,zone_5,93
755,2020-03-16,zone_6,84
756,2020-03-16,zone_7,27
757,2020-03-16,zone_8,129
758,2020-03-16,zone_9,20
759,2020-03-16,zone_10,31
760,2020-03-17,zone_1,31
761,2020-03-17,zone_2,142
762,2020-03-17,zone_3,34
763,2020-03-17,zone_4,73
764,2020-03-17,zone_5,57
765,2020-03-17,zone_6,115
766,2020-03-17,zone_7,36
767,2020-03-17,zone_8,117
768,2020-03-17,zone_9,22
769,2020-03-17,zone_10,32
770,2020-03-18,zone_1,37
771,2020-03-18,zone_2,126
772,2020-03-18,zone_3,34
773,2020-03-18,zone_4,73
774,2020-03-18,zone_5,43
775,2020-03-18,zone_6,104
776,2020-03-18,zone_7,34
777,2020-03-18,zone_8,115
778,2020-03-18,zone_9,16
779,2020-03-18,zone_10,42
780,2020-03-19,zone_1,30
781,2020-03-19,zone_2,111
782,2020-03-19,zone_3,54
783,2020-03-19,zone_4,91
784,2020-03-19,zone_5,49
785,2020-03-19,zone_6,110
786,2020-03-19,zone_7,37
787,2020-03-19,zone_8,132
788,2020-03-19,zone_9,21
789,2020-03-19,zone_10,42
790,2020-03-20,zone_1,38
791,2020-03-20,zone_2,111
792,2020-03-20,zone_3,29
793,2020-03-20,zone_4,75
794,2020-03-20,zone_5,54
795,2020-03-20,zone_6,106
796,2020-03-20,zone_7,24
797,2020-03-20,zone_8,126
798,2020-03-20,zone_9,25
799,2020-03-20,zone_10,31
800,2020-03-21,zone_1,29
801,2020-03-21,zone_2,122
802,2020-03-21,zone_3,34
803,2020-03-21,zone_4,70
804,2020-03-21,zone_5,57
805,2020-03-21,zone_6,121
806,2020-03-21,zone_7,30
807,2020-03-21,zone_8,122
808,2020-03-21,zone_9,19
809,2020-03-21,zone_10,25
810,2020-03-22,zone_1,27
811,2020-03-22,zone_2,116
812,2020-03-22,zone_3,28
813,2020-03-22,zone_4,63
814,2020-03-22,zone_5,45
815,2020-03-22,zone_6,164
816,2020-03-22,zone_7,42
817,2020-03-22,zone_8,115
818,2020-03-22,zone_9,27
819,2020-03-22,zone_10,38
820,2020-03-23,zone_1,32
821,2020-03-23,zone_2,112
822,2020-03-23,zone_3,36
823,2020-03-23,zone_4,64
824,2020-03-23,zone_5,58
825,2020-03-23,zone_6,130
826,2020-03-23,zone_7,27
827,2020-03-23,zone_8,113
828,2020-03-23,zone_9,34
829,2020-03-23,zone_10,37
830,2020-03-24,zone_1,30
831,2020-03-24,zone_2,114
832,2020-03-24,zone_3,35
833,2020-03-24,zone_4,62
834,2020-03-24,zone_5,47
835,2020-03-24,zone_6,134
836,2020-03-24,zone_7,29
837,2020-03-24,zone_8,131
838,2020-03-24,zone_9,24
839,2020-03-24,zone_10,20
840,2020-03-25,zone_1,34
841,2020-03-25,zone_2,108
842,2020-03-25,zone_3,30
843,2020-03-25,zone_4,95
844,2020-03-25,zone_5,60
845,2020-03-25,zone_6,107
846,2020-03-25,zone_7,38
847,2020-03-25,zone_8,144
848,2020-03-25,zone_9,27
849,2020-03-25,zone_10,39
850,2020-03-26,zone_1,38
851,2020-03-26,zone_2,121
852,2020-03-26,zone_3,31
853,2020-03-26,zone_4,77
854,2020-03-26,zone_5,55
855,2020-03-26,zone_6,134
856,2020-03-26,zone_7,36
857,2020-03-26,zone_8,134
858,2020-03-26,zone_9,20
859,2020-03-26,zone_10,33
860,2020-03-27,zone_1,41
861,2020-03-27,zone_2,120
862,2020-03-27,zone_3,33
863,2020-03-27,zone_4,145
864,2020-03-27,zone_5,49
865,2020-03-27,zone_6,116
866,2020-03-27,zone_7,32
867,2020-03-27,zone_8,116
868,2020-03-27,zone_9,22
869,2020-03-27,zone_10,29
870,2020-03-28,zone_1,42
871,2020-03-28,zone_2,111
872,2020-03-28,zone_3,23
