date,zone,new_cases
2020-01-14,zone_10,25
2020-01-15,zone_1,31
2020-01-15,zone_2,81
2020-01-15,zone_3,20
2020-01-15,zone_4,52
2020-01-15,zone_5,39
2020-01-15,zone_6,85
2020-01-15,zone_7,26
2020-01-15,zone_8,107
2020-01-15,zone_9,12
2020-01-15,zone_10,31
2020-01-16,zone_1,20
2020-01-16,zone_2,94
2020-01-16,zone_3,27
2020-01-16,zone_4,53
2020-01-16,zone_5,42
2020-01-16,zone_6,81
2020-01-16,zone_7,23
2020-01-16,zone_8,77
2020-01-16,zone_9,18
2020-01-16,zone_10,19
2020-01-17,zone_1,25
2020-01-17,zone_2,98
2020-01-17,zone_3,30
2020-01-17,zone_4,50
2020-01-17,zone_5,36
2020-01-17,zone_6,65
2020-01-17,zone_7,17
2020-01-17,zone_8,80
2020-01-17,zone_9,16
2020-01-17,zone_10,21
2020-01-18,zone_1,21
2020-01-18,zone_2,71
2020-01-18,zone_3,23
2020-01-18,zone_4,53
2020-01-18,zone_5,50
2020-01-18,zone_6,90
2020-01-18,zone_7,18
2020-01-18,zone_8,94
2020-01-18,zone_9,20
2020-01-18,zone_10,26
2020-01-19,zone_1,23
2020-01-19,zone_2,113
2020-01-19,zone_3,21
2020-01-19,zone_4,61
2020-01-19,zone_5,45
2020-01-19,zone_6,82
2020-01-19,zone_7,22
2020-01-19,zone_8,87
2020-01-19,zone_9,18
2020-01-19,zone_10,20
2020-01-20,zone_1,19
2020-01-20,zone_2,99
2020-01-20,zone_3,18
2020-01-20,zone_4,60
2020-01-20,zone_5,33
2020-01-20,zone_6,83
2020-01-20,zone_7,27
2020-01-20,zone_8,89
2020-01-20,zone_9,11
2020-01-20,zone_10,27
2020-01-21,zone_1,25
2020-01-21,zone_2,73
2020-01-21,zone_3,23
2020-01-21,zone_4,55
2020-01-21,zone_5,39
2020-01-21,zone_6,99
2020-01-21,zone_7,17
2020-01-21,zone_8,82
2020-01-21,zone_9,18
2020-01-21,zone_10,31
2020-01-22,zone_1,19
2020-01-22,zone_2,86
2020-01-22,zone_3,24
2020-01-22,zone_4,49
2020-01-22,zone_5,45
2020-01-22,zone_6,96
2020-01-22,zone_7,31
2020-01-22,zone_8,112
2020-01-22,zone_9,12
2020-01-22,zone_10,27
2020-01-23,zone_1,19
2020-01-23,zone_2,93
2020-01-23,zone_3,23
2020-01-23,zone_4,60
2020-01-23,zone_5,46
2020-01-23,zone_6,89
2020-01-23,zone_7,26
2020-01-23,zone_8,88
2020-01-23,zone_9,18
2020-01-23,zone_10,38
2020-01-24,zone_1,47
2020-01-24,zone_2,104
2020-01-24,zone_3,35
2020-01-24,zone_4,54
2020-01-24,zone_5,52
2020-01-24,zone_6,95
2020-01-24,zone_7,22
2020-01-24,zone_8,103
2020-01-24,zone_9,16
2020-01-24,zone_10,24
2020-01-25,zone_1,24
2020-01-25,zone_2,75
2020-01-25,zone_3,25
2020-01-25,zone_4,93
2020-01-25,zone_5,33
2020-01-25,zone_6,86
2020-01-25,zone_7,19
2020-01-25,zone_8,93
2020-01-25,zone_9,21
2020-01-25,zone_10,26
2020-01-26,zone_1,19
2020-01-26,zone_2,107
2020-01-26,zone_3,37
2020-01-26,zone_4,79
2020-01-26,zone_5,44
2020-01-26,zone_6,93
2020-01-26,zone_7,20
2020-01-26,zone_8,101
2020-01-26,zone_9,16
2020-01-26,zone_10,30
2020-01-27,zone_1,20
2020-01-27,zone_2,90
2020-01-27,zone_3,32
2020-01-27,zone_4,50
2020-01-27,zone_5,43
2020-01-27,zone_6,83
2020-01-27,zone_7,28
2020-01-27,zone_8,94
2020-01-27,zone_9,17
2020-01-27,zone_10,28
2020-01-28,zone_1,19
2020-01-28,zone_2,89
2020-01-28,zone_3,19
2020-01-28,zone_4,54
2020-01-28,zone_5,35
2020-01-28,zone_6,99
2020-01-28,zone_7,25
2020-01-28,zone_8,111
2020-01-28,zone_9,18
2020-01-28,zone_10,31
2020-01-29,zone_1,21
2020-01-29,zone_2,85
2020-01-29,zone_3,28
2020-01-29,zone_4,68
2020-01-29,zone_5,43
2020-01-29,zone_6,88
2020-01-29,zone_7,17
2020-01-29,zone_8,96
2020-01-29,zone_9,14
2020-01-29,zone_10,30
2020-01-30,zone_1,23
2020-01-30,zone_2,88
2020-01-30,zone_3,32
2020-01-30,zone_4,63
2020-01-30,zone_5,55
2020-01-30,zone_6,103
2020-01-30,zone_7,32
2020-01-30,zone_8,90
2020-01-30,zone_9,27
2020-01-30,zone_10,34
2020-01-31,zone_1,21
2020-01-31,zone_2,95
2020-01-31,zone_3,17
2020-01-31,zone_4,61
2020-01-31,zone_5,51
2020-01-31,zone_6,87
2020-01-31,zone_7,29
2020-01-31,zone_8,100
2020-01-31,zone_9,22
2020-01-31,zone_10,31
2020-02-01,zone_1,24
2020-02-01,zone_2,163
2020-02-01,zone_3,26
2020-02-01,zone_4,61
2020-02-01,zone_5,41
2020-02-01,zone_6,106
2020-02-01,zone_7,25
2020-02-01,zone_8,88
2020-02-01,zone_9,16
2020-02-01,zone_10,26
2020-02-02,zone_1,20
2020-02-02,zone_2,82
2020-02-02,zone_3,28
2020-02-02,zone_4,49
2020-02-02,zone_5,49
2020-02-02,zone_6,72
2020-02-02,zone_7,21
2020-02-02,zone_8,81
2020-02-02,zone_9,11
2020-02-02,zone_10,27
2020-02-03,zone_1,24
2020-02-03,zone_2,84
2020-02-03,zone_3,30
2020-02-03,zone_4,60
2020-02-03,zone_5,46
2020-02-03,zone_6,77
2020-02-03,zone_7,18
2020-02-03,zone_8,87
2020-02-03,zone_9,18
2020-02-03,zone_10,30
2020-02-04,zone_1,27
2020-02-04,zone_2,99
2020-02-04,zone_3,25
2020-02-04,zone_4,59
2020-02-04,zone_5,47
2020-02-04,zone_6,84
2020-02-04,zone_7,21
2020-02-04,zone_8,93
2020-02-04,zone_9,21
2020-02-04,zone_10,27
2020-02-05,zone_1,29
2020-02-05,zone_2,97
2020-02-05,zone_3,39
2020-02-05,zone_4,71
2020-02-05,zone_5,41
2020-02-05,zone_6,86
2020-02-05,zone_7,20
2020-02-05,zone_8,95
2020-02-05,zone_9,31
2020-02-05,zone_10,33
2020-02-06,zone_1,31
2020-02-06,zone_2,96
2020-02-06,zone_3,20
2020-02-06,zone_4,54
2020-02-06,zone_5,30
2020-02-06,zone_6,98
2020-02-06,zone_7,23
2020-02-06,zone_8,93
2020-02-06,zone_9,22
2020-02-06,zone_10,20
2020-02-07,zone_1,20
2020-02-07,zone_2,144
2020-02-07,zone_3,28
2020-02-07,zone_4,34
2020-02-07,zone_5,35
2020-02-07,zone_6,99
2020-02-07,zone_7,18
2020-02-07,zone_8,78
2020-02-07,zone_9,24
2020-02-07,zone_10,26
2020-02-08,zone_1,34
2020-02-08,zone_2,92
2020-02-08,zone_3,32
2020-02-08,zone_4,50
2020-02-08,zone_5,40
2020-02-08,zone_6,94
2020-02-08,zone_7,29
2020-02-08,zone_8,91
2020-02-08,zone_9,18
2020-02-08,zone_10,33
2020-02-09,zone_1,28
2020-02-09,zone_2,93
2020-02-09,zone_3,27
2020-02-09,zone_4,69
2020-02-09,zone_5,46
2020-02-09,zone_6,80
2020-02-09,zone_7,25
2020-02-09,zone_8,99
2020-02-09,zone_9,20
2020-02-09,zone_10,45
2020-02-10,zone_1,24
2020-02-10,zone_2,86
2020-02-10,zone_3,29
2020-02-10,zone_4,55
2020-02-10,zone_5,48
2020-02-10,zone_6,95
2020-02-10,zone_7,31
2020-02-10,zone_8,92
2020-02-10,zone_9,10
2020-02-10,zone_10,15
2020-02-11,zone_1,37
2020-02-11,zone_2,70
2020-02-11,zone_3,43
2020-02-11,zone_4,60
2020-02-11,zone_5,44
2020-02-11,zone_6,79
2020-02-11,zone_7,29
2020-02-11,zone_8,133
2020-02-11,zone_9,18
2020-02-11,zone_10,32
2020-02-12,zone_1,30
2020-02-12,zone_2,108
2020-02-12,zone_3,39
2020-02-12,zone_4,51
2020-02-12,zone_5,47
2020-02-12,zone_6,104
2020-02-12,zone_7,24
2020-02-12,zone_8,113
2020-02-12,zone_9,18
2020-02-12,zone_10,30
2020-02-13,zone_1,25
2020-02-13,zone_2,92
2020-02-13,zone_3,27
2020-02-13,zone_4,60
2020-02-13,zone_5,44
2020-02-13,zone_6,136
2020-02-13,zone_7,24
2020-02-13,zone_8,104
2020-02-13,zone_9,30
2020-02-13,zone_10,38
2020-02-14,zone_1,25
2020-02-14,zone_2,89
2020-02-14,zone_3,34
2020-02-14,zone_4,60
2020-02-14,zone_5,43
2020-02-14,zone_6,98
2020-02-14,zone_7,29
2020-02-14,zone_8,103
2020-02-14,zone_9,29
2020-02-14,zone_10,37
2020-02-15,zone_1,29
2020-02-15,zone_2,111
2020-02-15,zone_3,34
2020-02-15,zone_4,57
2020-02-15,zone_5,47
2020-02-15,zone_6,82
2020-02-15,zone_7,37
2020-02-15,zone_8,107
2020-02-15,zone_9,18
2020-02-15,zone_10,33
2020-02-16,zone_1,31
2020-02-16,zone_2,84
2020-02-16,zone_3,30
2020-02-16,zone_4,46
2020-02-16,zone_5,42
2020-02-16,zone_6,76
2020-02-16,zone_7,31
2020-02-16,zone_8,119
2020-02-16,zone_9,17
2020-02-16,zone_10,31
2020-02-17,zone_1,17
2020-02-17,zone_2,87
2020-02-17,zone_3,30
2020-02-17,zone_4,65
2020-02-17,zone_5,40
2020-02-17,zone_6,95
2020-02-17,zone_7,28
2020-02-17,zone_8,92
2020-02-17,zone_9,22
2020-02-17,zone_10,26
2020-02-18,zone_1,39
2020-02-18,zone_2,95
2020-02-18,zone_3,30
2020-02-18,zone_4,48
2020-02-18,zone_5,52
2020-02-18,zone_6,78
2020-02-18,zone_7,30
2020-02-18,zone_8,110
2020-02-18,zone_9,19
2020-02-18,zone_10,24
2020-02-19,zone_1,22
2020-02-19,zone_2,93
2020-02-19,zone_3,21
2020-02-19,zone_4,62
2020-02-19,zone_5,45
2020-02-19,zone_6,75
2020-02-19,zone_7,22
2020-02-19,zone_8,100
2020-02-19,zone_9,11
2020-02-19,zone_10,36
2020-02-20,zone_1,30
2020-02-20,zone_2,86
2020-02-20,zone_3,24
2020-02-20,zone_4,68
2020-02-20,zone_5,46
2020-02-20,zone_6,103
2020-02-20,zone_7,22
2020-02-20,zone_8,133
2020-02-20,zone_9,20
2020-02-20,zone_10,22
2020-02-21,zone_1,26
2020-02-21,zone_2,96
2020-02-21,zone_3,27
2020-02-21,zone_4,54
2020-02-21,zone_5,57
2020-02-21,zone_6,101
2020-02-21,zone_7,29
2020-02-21,zone_8,95
2020-02-21,zone_9,22
2020-02-21,zone_10,34
2020-02-22,zone_1,33
2020-02-22,zone_2,95
2020-02-22,zone_3,24
2020-02-22,zone_4,64
2020-02-22,zone_5,66
2020-02-22,zone_6,100
2020-02-22,zone_7,20
2020-02-22,zone_8,112
2020-02-22,zone_9,21
2020-02-22,zone_10,36
2020-02-23,zone_1,26
2020-02-23,zone_2,97
2020-02-23,zone_3,26
2020-02-23,zone_4,72
2020-02-23,zone_5,41
2020-02-23,zone_6,108
2020-02-23,zone_7,30
2020-02-23,zone_8,83
2020-02-23,zone_9,23
2020-02-23,zone_10,31
2020-02-24,zone_1,30
2020-02-24,zone_2,95
2020-02-24,zone_3,38
2020-02-24,zone_4,72
2020-02-24,zone_5,36
2020-02-24,zone_6,88
2020-02-24,zone_7,29
2020-02-24,zone_8,213
2020-02-24,zone_9,18
2020-02-24,zone_10,28
2020-02-25,zone_1,27
2020-02-25,zone_2,116
2020-02-25,zone_3,49
2020-02-25,zone_4,58
2020-02-25,zone_5,49
2020-02-25,zone_6,79
2020-02-25,zone_7,29
2020-02-25,zone_8,120
2020-02-25,zone_9,20
2020-02-25,zone_10,28
2020-02-26,zone_1,34
2020-02-26,zone_2,90
2020-02-26,zone_3,22
2020-02-26,zone_4,76
2020-02-26,zone_5,50
2020-02-26,zone_6,96
2020-02-26,zone_7,29
2020-02-26,zone_8,129
2020-02-26,zone_9,26
2020-02-26,zone_10,28
2020-02-27,zone_1,28
2020-02-27,zone_2,92
2020-02-27,zone_3,30
2020-02-27,zone_4,67
2020-02-27,zone_5,53
2020-02-27,zone_6,102
2020-02-27,zone_7,18
2020-02-27,zone_8,103
2020-02-27,zone_9,17
2020-02-27,zone_10,31
2020-02-28,zone_1,29
2020-02-28,zone_2,119
2020-02-28,zone_3,29
2020-02-28,zone_4,78
2020-02-28,zone_5,43
2020-02-28,zone_6,92
2020-02-28,zone_7,29
2020-02-28,zone_8,114
2020-02-28,zone_9,15
2020-02-28,zone_10,38
2020-02-29,zone_1,34
2020-02-29,zone_2,105
2020-02-29,zone_3,31
2020-02-29,zone_4,72
2020-02-29,zone_5,46
2020-02-29,zone_6,80
2020-02-29,zone_7,28
2020-02-29,zone_8,102
2020-02-29,zone_9,18
2020-02-29,zone_10,27
2020-03-01,zone_1,35
2020-03-01,zone_2,103
2020-03-01,zone_3,31
2020-03-01,zone_4,71
2020-03-01,zone_5,68
2020-03-01,zone_6,94
2020-03-01,zone_7,30
2020-03-01,zone_8,130
2020-03-01,zone_9,24
2020-03-01,zone_10,25
2020-03-02,zone_1,38
2020-03-02,zone_2,103
2020-03-02,zone_3,39
2020-03-02,zone_4,66
2020-03-02,zone_5,77
2020-03-02,zone_6,102
2020-03-02,zone_7,19
2020-03-02,zone_8,126
2020-03-02,zone_9,24
2020-03-02,zone_10,38
2020-03-03,zone_1,30
2020-03-03,zone_2,94
2020-03-03,zone_3,23
2020-03-03,zone_4,60
2020-03-03,zone_5,52
2020-03-03,zone_6,113
2020-03-03,zone_7,31
2020-03-03,zone_8,108
2020-03-03,zone_9,17
2020-03-03,zone_10,35
2020-03-04,zone_1,27
2020-03-04,zone_2,100
2020-03-04,zone_3,39
2020-03-04,zone_4,68
2020-03-04,zone_5,53
2020-03-04,zone_6,100
2020-03-04,zone_7,29
2020-03-04,zone_8,99
2020-03-04,zone_9,18
2020-03-04,zone_10,42
2020-03-05,zone_1,34
2020-03-05,zone_2,99
2020-03-05,zone_3,35
2020-03-05,zone_4,58
2020-03-05,zone_5,45
2020-03-05,zone_6,96
2020-03-05,zone_7,37
2020-03-05,zone_8,117
2020-03-05,zone_9,13
2020-03-05,zone_10,33
2020-03-06,zone_1,32
2020-03-06,zone_2,123
2020-03-06,zone_3,40
2020-03-06,zone_4,63
2020-03-06,zone_5,56
2020-03-06,zone_6,101
2020-03-06,zone_7,31
2020-03-06,zone_8,115
2020-03-06,zone_9,21
2020-03-06,zone_10,34
2020-03-07,zone_1,33
2020-03-07,zone_2,103
2020-03-07,zone_3,25
2020-03-07,zone_4,61
2020-03-07,zone_5,52
2020-03-07,zone_6,143
2020-03-07,zone_7,15
2020-03-07,zone_8,126
2020-03-07,zone_9,20
2020-03-07,zone_10,25
2020-03-08,zone_1,38
2020-03-08,zone_2,101
2020-03-08,zone_3,31
2020-03-08,zone_4,68
2020-03-08,zone_5,34
2020-03-08,zone_6,107
2020-03-08,zone_7,27
2020-03-08,zone_8,102
2020-03-08,zone_9,13
2020-03-08,zone_10,45
2020-03-09,zone_1,49
2020-03-09,zone_2,125
2020-03-09,zone_3,36
2020-03-09,zone_4,50
2020-03-09,zone_5,46
2020-03-09,zone_6,80
2020-03-09,zone_7,27
2020-03-09,zone_8,130
2020-03-09,zone_9,24
2020-03-09,zone_10,39
2020-03-10,zone_1,41
2020-03-10,zone_2,111
2020-03-10,zone_3,36
2020-03-10,zone_4,57
2020-03-10,zone_5,61
2020-03-10,zone_6,109
2020-03-10,zone_7,28
2020-03-10,zone_8,121
2020-03-10,zone_9,25
2020-03-10,zone_10,49
2020-03-11,zone_1,25
2020-03-11,zone_2,108
2020-03-11,zone_3,30
2020-03-11,zone_4,63
2020-03-11,zone_5,52
2020-03-11,zone_6,107
2020-03-11,zone_7,29
2020-03-11,zone_8,107
2020-03-11,zone_9,19
2020-03-11,zone_10,31
2020-03-12,zone_1,31
2020-03-12,zone_2,124
2020-03-12,zone_3,35
2020-03-12,zone_4,67
2020-03-12,zone_5,63
2020-03-12,zone_6,120
2020-03-12,zone_7,23
2020-03-12,zone_8,106
2020-03-12,zone_9,22
2020-03-12,zone_10,32
2020-03-13,zone_1,36
2020-03-13,zone_2,110
2020-03-13,zone_3,39
2020-03-13,zone_4,86
2020-03-13,zone_5,60
2020-03-13,zone_6,122
2020-03-13,zone_7,29
2020-03-13,zone_8,139
2020-03-13,zone_9,25
2020-03-13,zone_10,26
2020-03-14,zone_1,38
2020-03-14,zone_2,137
2020-03-14,zone_3,36
2020-03-14,zone_4,76
2020-03-14,zone_5,57
2020-03-14,zone_6,116
2020-03-14,zone_7,21
2020-03-14,zone_8,117
2020-03-14,zone_9,20
2020-03-14,zone_10,47
2020-03-15,zone_1,32
2020-03-15,zone_2,112
2020-03-15,zone_3,21
2020-03-15,zone_4,62
2020-03-15,zone_5,50
2020-03-15,zone_6,107
2020-03-15,zone_7,28
2020-03-15,zone_8,136
2020-03-15,zone_9,24
2020-03-15,zone_10,38
2020-03-16,zone_1,38
2020-03-16,zone_2,113
2020-03-16,zone_3,30
2020-03-16,zone_4,57
2020-03-16,zone_5,93
2020-03-16,zone_6,84
2020-03-16,zone_7,27
2020-03-16,zone_8,129
2020-03-16,zone_9,20
2020-03-16,zone_10,31
2020-03-17,zone_1,31
2020-03-17,zone_2,142
2020-03-17,zone_3,34
2020-03-17,zone_4,73
2020-03-17,zone_5,57
2020-03-17,zone_6,115
2020-03-17,zone_7,36
2020-03-17,zone_8,117
2020-03-17,zone_9,22
2020-03-17,zone_10,32
2020-03-18,zone_1,37
2020-03-18,zone_2,126
2020-03-18,zone_3,34
2020-03-18,zone_4,73
2020-03-18,zone_5,43
2020-03-18,zone_6,104
2020-03-18,zone_7,34
2020-03-18,zone_8,115
2020-03-18,zone_9,16
2020-03-18,zone_10,42
2020-03-19,zone_1,30
2020-03-19,zone_2,111
2020-03-19,zone_3,54
2020-03-19,zone_4,91
2020-03-19,zone_5,49
2020-03-19,zone_6,110
2020-03-19,zone_7,37
2020-03-19,zone_8,132
2020-03-19,zone_9,21
2020-03-19,zone_10,42
2020-03-20,zone_1,38
2020-03-20,zone_2,111
2020-03-20,zone_3,29
2020-03-20,zone_4,75
2020-03-20,zone_5,54
2020-03-20,zone_6,106
2020-03-20,zone_7,24
2020-03-20,zone_8,126
2020-03-20,zone_9,25
2020-03-20,zone_10,31
2020-03-21,zone_1,29
2020-03-21,zone_2,122
2020-03-21,zone_3,34
2020-03-21,zone_4,70
2020-03-21,zone_5,57
2020-03-21,zone_6,121
2020-03-21,zone_7,30
2020-03-21,zone_8,122
2020-03-21,zone_9,19
2020-03-21,zone_10,25
2020-03-22,zone_1,27
2020-03-22,zone_2,116
2020-03-22,zone_3,28
2020-03-22,zone_4,63
2020-03-22,zone_5,45
2020-03-22,zone_6,164
2020-03-22,zone_7,42
2020-03-22,zone_8,115
2020-03-22,zone_9,27
2020-03-22,zone_10,38
2020-03-23,zone_1,32
2020-03-23,zone_2,112
2020-03-23,zone_3,36
2020-03-23,zone_4,64
2020-03-23,zone_5,58
2020-03-23,zone_6,130
2020-03-23,zone_7,27
2020-03-23,zone_8,113
2020-03-23,zone_9,34
2020-03-23,zone_10,37
2020-03-24,zone_1,30
2020-03-24,zone_2,114
2020-03-24,zone_3,35
2020-03-24,zone_4,62
2020-03-24,zone_5,47
2020-03-24,zone_6,134
2020-03-24,zone_7,29
2020-03-24,zone_8,131
2020-03-24,zone_9,24
2020-03-24,zone_10,20
2020-03-25,zone_1,34
2020-03-25,zone_2,108
2020-03-25,zone_3,30
2020-03-25,zone_4,95
2020-03-25,zone_5,60
2020-03-25,zone_6,107
2020-03-25,zone_7,38
2020-03-25,zone_8,144
2020-03-25,zone_9,27
2020-03-25,zone_10,39
2020-03-26,zone_1,38
2020-03-26,zone_2,121
2020-03-26,zone_3,31
2020-03-26,zone_4,77
2020-03-26,zone_5,55
2020-03-26,zone_6,134
2020-03-26,zone_7,36
2020-03-26,zone_8,134
2020-03-26,zone_9,20
2020-03-26,zone_10,33
2020-03-27,zone_1,41
2020-03-27,zone_2,120
2020-03-27,zone_3,33
2020-03-27,zone_4,145
2020-03-27,zone_5,49
2020-03-27,zone_6,116
2020-03-27,zone_7,32
2020-03-27,zone_8,116
2020-03-27,zone_9,22
2020-03-27,zone_10,29
2020-03-28,zone_1,42
2020-03-28,zone_2,111
2020-03-28,zone_3,23
2020-03-28,zone_4,67
2020-03-28,zone_5,52
2020-03-28,zone_6,95
2020-03-28,zone_7,31
2020-03-28,zone_8,105
2020-03-28,zone_9,26
2020-03-28,zone_10,31
2020-03-29,zone_1,25
2020-03-29,zone_2,118
2020-03-29,zone_3,36
2020-03-29,zone_4,60
2020-03-29,zone_5,60
2020-03-29,zone_6,112
2020-03-29,zone_7,32
2020-03-29,zone_8,133
2020-03-29,zone_9,35
2020-03-29,zone_10,39
2020-03-30,zone_1,30
2020-03-30,zone_2,112
2020-03-30,zone_3,38
2020-03-30,zone_4,75
2020-03-30,zone_5,45
2020-03-30,zone_6,106
2020-03-30,zone_7,59
2020-03-30,zone_8,121
2020-03-30,zone_9,23
2020-03-30,zone_10,28
2020-03-31,zone_1,25
2020-03-31,zone_2,119
2020-03-31,zone_3,40
2020-03-31,zone_4,76
2020-03-31,zone_5,61
2020-03-31,zone_6,183
2020-03-31,zone_7,28
2020-03-31,zone_8,108
2020-03-31,zone_9,26
2020-03-31,zone_10,43
2020-04-01,zone_1,36
2020-04-01,zone_2,130
2020-04-01,zone_3,25
2020-04-01,zone_4,75
2020-04-01,zone_5,54
2020-04-01,zone_6,127
2020-04-01,zone_7,29
2020-04-01,zone_8,129
2020-04-01,zone_9,30
2020-04-01,zone_10,37
2020-04-02,zone_1,46
2020-04-02,zone_2,119
2020-04-02,zone_3,30
2020-04-02,zone_4,65
2020-04-02,zone_5,65
2020-04-02,zone_6,111
2020-04-02,zone_7,33
2020-04-02,zone_8,127
2020-04-02,zone_9,22
2020-04-02,zone_10,34
2020-04-03,zone_1,47
2020-04-03,zone_2,119
2020-04-03,zone_3,31
2020-04-03,zone_4,81
2020-04-03,zone_5,48
2020-04-03,zone_6,125
2020-04-03,zone_7,27
2020-04-03,zone_8,141
2020-04-03,zone_9,16
2020-04-03,zone_10,47
2020-04-04,zone_1,27
2020-04-04,zone_2,127
2020-04-04,zone_3,35
2020-04-04,zone_4,76
2020-04-04,zone_5,58
2020-04-04,zone_6,107
2020-04-04,zone_7,41
2020-04-04,zone_8,117
2020-04-04,zone_9,22
2020-04-04,zone_10,32
2020-04-05,zone_1,30
2020-04-05,zone_2,103
2020-04-05,zone_3,40
2020-04-05,zone_4,76
2020-04-05,zone_5,67
2020-04-05,zone_6,130
2020-04-05,zone_7,33
2020-04-05,zone_8,123
2020-04-05,zone_9,23
2020-04-05,zone_10,26
2020-04-06,zone_1,34
2020-04-06,zone_2,119
2020-04-06,zone_3,35
2020-04-06,zone_4,74
2020-04-06,zone_5,63
2020-04-06,zone_6,230
2020-04-06,zone_7,39
2020-04-06,zone_8,144
2020-04-06,zone_9,25
2020-04-06,zone_10,41
2020-04-07,zone_1,41
2020-04-07,zone_2,141
2020-04-07,zone_3,30
2020-04-07,zone_4,69
2020-04-07,zone_5,52
2020-04-07,zone_6,138
2020-04-07,zone_7,24
2020-04-07,zone_8,147
2020-04-07,zone_9,22
2020-04-07,zone_10,51
2020-04-08,zone_1,32
2020-04-08,zone_2,116
2020-04-08,zone_3,41
2020-04-08,zone_4,83
2020-04-08,zone_5,63
2020-04-08,zone_6,113
2020-04-08,zone_7,37
2020-04-08,zone_8,152
2020-04-08,zone_9,31
2020-04-08,zone_10,27
2020-04-09,zone_1,33
2020-04-09,zone_2,117
2020-04-09,zone_3,30
2020-04-09,zone_4,84
2020-04-09,zone_5,112
2020-04-09,zone_6,126
2020-04-09,zone_7,41
2020-04-09,zone_8,141
